checking_account_status,duration_month,credit_history,purpose,credit_amount,savings_account,employment_since,installment_rate_pct,personal_status_sex,other_debtors,residence_since,property,age,other_installment_plans,housing,existing_credits,job,dependents,telephone,foreign_worker,target,default_risk,risk_label
< 0 DM,6,Critical account / other credits,Radio/television,1169,Unknown / no savings,>= 7 years,4,A93,A101,4,Real estate,67,A143,Own,2,Skilled employee,1,A192,A201,1,0,Good Credit
0-200 DM,48,Existing credits paid back duly,Radio/television,5951,< 100 DM,1-4 years,2,A92,A101,2,Real estate,22,A143,Own,1,Skilled employee,1,A191,A201,2,1,Bad Credit
No checking account,12,Critical account / other credits,Education,2096,< 100 DM,4-7 years,2,A93,A101,3,Real estate,49,A143,Own,1,Unskilled resident,2,A191,A201,1,0,Good Credit
< 0 DM,42,Existing credits paid back duly,Furniture/equipment,7882,< 100 DM,4-7 years,2,A93,A103,4,Savings/life insurance,45,A143,Free,1,Skilled employee,2,A191,A201,1,0,Good Credit
< 0 DM,24,Delay in past payments,New car,4870,< 100 DM,1-4 years,3,A93,A101,4,Unknown / no property,53,A143,Free,2,Skilled employee,2,A191,A201,2,1,Bad Credit
No checking account,36,Existing credits paid back duly,Education,9055,Unknown / no savings,1-4 years,2,A93,A101,4,Unknown / no property,35,A143,Free,1,Unskilled resident,2,A192,A201,1,0,Good Credit
No checking account,24,Existing credits paid back duly,Furniture/equipment,2835,500-1000 DM,>= 7 years,3,A93,A101,4,Savings/life insurance,53,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,36,Existing credits paid back duly,Used car,6948,< 100 DM,1-4 years,2,A93,A101,2,Car or other,35,A143,Rent,1,Management / self-employed,1,A192,A201,1,0,Good Credit
No checking account,12,Existing credits paid back duly,Radio/television,3059,>= 1000 DM,4-7 years,2,A91,A101,4,Real estate,61,A143,Own,1,Unskilled resident,1,A191,A201,1,0,Good Credit
0-200 DM,30,Critical account / other credits,New car,5234,< 100 DM,Unemployed,4,A94,A101,2,Car or other,28,A143,Own,2,Management / self-employed,1,A191,A201,2,1,Bad Credit
